Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_MI_1.1,Immuno-prophylaxis of Viral Diseases (or) Viral Vaccines,,False,2,,,@book?n=MI-apsemm&ed=4&vol=0#82
E_MI_1.2,Bacterial Cell Wall,"- Morphology
- Diagram
- Functions of various appendages",True,1,2009-02,,@book?n=MI-apsemm&ed=4&vol=0#14
E_MI_1.3,Physiology of Bacteria,,True,1,2013-02,,@book?n=MI-apsemm&ed=4&vol=0#19
E_MI_1.4,Bacterial Growth Curve,- Factors affecting the growth of bacteria,True,1,2022-03,,@book?n=MI-apsemm&ed=4&vol=0#19
E_MI_1.5,Culture Media,"- Types
- Anaerobic culture media",True,1,2020-11,,@book?n=MI-apsemm&ed=4&vol=0#27
E_MI_1.6,Methods of Gene Transfer,,True,1,2018-02,,@book?n=MI-apsemm&ed=4&vol=0#44
S_MI_1.1.1.1.1,Lord Lister,,False,1,,,@book?n=MI-apsemm&ed=4&vol=0#4
S_MI_1.1.1.1.2,Bacterial Spores,,False,5,,,@book?n=MI-apsemm&ed=4&vol=0#18
S_MI_1.1.1.1.3,Sporicidal Chemicals,,False,1,,,@book?n=MI-apsemm&ed=4&vol=0#19
S_MI_1.1.1.1.4,L-forms of Bacteria,,False,1,,,@book?n=MI-apsemm&ed=4&vol=0#18
S_MI_1.1.1.1.5,Louis Pasteur,,True,6,2021-09;2020-11;2017-08;2015-02;2011-02;2009-02,,@book?n=MI-apsemm&ed=4&vol=0#4
S_MI_1.1.1.1.6,Pasteurization,,True,2,2019-08;2009-08,,
S_MI_1.1.1.1.7,Robert Koch,- Koch's postulates,True,5,2023-07;2022-02;2019-02;2016-02;2009-08,,@book?n=MI-apsemm&ed=4&vol=0#4
S_MI_1.1.1.1.8,Viral Replication,,False,1,,,@book?n=MI-apsemm&ed=4&vol=0#73
S_MI_1.1.1.1.9,"Lab Diagnosis of Viral Diseases ",,False,1,,,@book?n=MI-apsemm&ed=4&vol=0#77
S_MI_1.1.1.1.10,Dimorphic Fungi,,False,1,,,@book?n=MI-apsemm&ed=4&vol=0#101
S_MI_1.1.1.1.11,Opportunistic Fungal Infections,,False,1,,,@book?n=MI-apsemm&ed=4&vol=0#105
S_MI_1.1.1.1.12,Commensals,,True,1,2018-08,,@book?n=MI-apsemm&ed=4&vol=0#108
S_MI_1.1.1.1.13,Darkground Microscope,- Uses,True,2,2019-08;2012-02,,@book?n=MI-apsemm&ed=4&vol=0#7
S_MI_1.1.1.1.14,Phase Contrast Microscope,- Working mechanism;- Principle,True,2,2023-07;2022-08,,@book?n=MI-apsemm&ed=4&vol=0#7
S_MI_1.1.1.1.15,Fluorescence Microscope,- Working Mechanism;- Uses;- Principles,True,3,2023-02;2020-02;2016-02,,@book?n=MI-apsemm&ed=4&vol=0#8
S_MI_1.1.1.1.16,Electron Microscope,,True,3,2023-07;2015-02;2011-08,,@book?n=MI-apsemm&ed=4&vol=0#9
S_MI_1.1.1.1.17,Bacterial Cell Wall,- Difference between bacterial cell wall of Gram Positive and Gram Negative bacteria,True,1,2016-02,,@book?n=MI-apsemm&ed=4&vol=0#14
S_MI_1.1.1.1.18,Bacterial Capsule,,True,5,2017-08;2014-02;2010-08;2010-02;2008-08,,@book?n=MI-apsemm&ed=4&vol=0#17
S_MI_1.1.1.1.19,Slime Layer,,True,1,2020-11,,@book?n=MI-apsemm&ed=4&vol=0#17
S_MI_1.1.1.1.20,Flagella,- Types;- Bacteria having peritrichous flagella,True,5,2021-09;2015-02;2013-02;2012-02;2009-08,,@book?n=MI-apsemm&ed=4&vol=0#17
S_MI_1.1.1.1.21,Fimbriae,,True,2,2023-02;2011-02,,@book?n=MI-apsemm&ed=4&vol=0#18
S_MI_1.1.1.1.22,Biofilm,,False,1,,,@book?n=MI-apsemm&ed=4&vol=0#17
S_MI_1.1.1.1.23,Bacterial Growth Curve,- Factors affecting growth of bacteria,True,6,2020-11;2016-08;2014-08;2012-08;2012-02;2010-02,,@book?n=MI-apsemm&ed=4&vol=0#19
S_MI_1.1.1.1.24,Identification of Bacteria,,True,1,2020-02,,@book?n=MI-apsemm&ed=4&vol=0#32
S_MI_1.1.1.1.25,"Differential Stains ",,True,1,2022-08,,@book?n=MI-apsemm&ed=4&vol=0#24
S_MI_1.1.1.1.26,"Negative Staining ",,True,3,2022-02;2013-08;2009-02,,@book?n=MI-apsemm&ed=4&vol=0#23
S_MI_1.1.1.1.27,Modified Acid-Fast Staining,,True,1,2020-11,,@book?n=MI-apsemm&ed=4&vol=0#25
S_MI_1.1.1.1.28,Uses of Gram Stain,,True,1,2010-08,,@book?n=MI-apsemm&ed=4&vol=0#24
S_MI_1.1.1.1.29,Culture Media,,True,1,2023-02,,@book?n=MI-apsemm&ed=4&vol=0#27
S_MI_1.1.1.1.30,Differential Media,,True,1,2022-08,,@book?n=MI-apsemm&ed=4&vol=0#28
S_MI_1.1.1.1.31,Enriched Media,,True,6,2022-02;2018-08;2016-02;2014-02;2010-02;2008-08,,@book?n=MI-apsemm&ed=4&vol=0#27
S_MI_1.1.1.1.32,Chocolate Agar,,True,1,2017-08,,@book?n=MI-apsemm&ed=4&vol=0#27
S_MI_1.1.1.1.33,Enrichment Broth,,True,2,2016-08;2011-02,,@book?n=MI-apsemm&ed=4&vol=0#27
S_MI_1.1.1.1.34,Selective Media,,True,5,2015-02;2014-02;2013-02;2012-08;2009-08,,@book?n=MI-apsemm&ed=4&vol=0#28
S_MI_1.1.1.1.35,Anaerobic Culture Media,,True,8,2021-09;2016-02;2014-02;2012-02;2011-08;2011-02;2010-08;2010-02,,@book?n=MI-apsemm&ed=4&vol=0#28
S_MI_1.1.1.1.36,Transport Media,,True,5,2023-07;2022-08;2014-08;2012-02;2009-02,,@book?n=MI-apsemm&ed=4&vol=0#28
S_MI_1.1.1.1.37,IMVIC test,,True,1,2012-08,,@book?n=MI-apsemm&ed=4&vol=0#33
S_MI_1.1.1.1.38,Indole Test,,True,1,2021-09,,@book?n=MI-apsemm&ed=4&vol=0#33
S_MI_1.1.1.1.39,Urease Test,,True,1,2008-08,,@book?n=MI-apsemm&ed=4&vol=0#34
S_MI_1.1.1.1.40,Oxidase Test,,True,1,2009-02,,@book?n=MI-apsemm&ed=4&vol=0#33
S_MI_1.1.1.1.41,Polymerase Chain Reaction (PCR),,True,5,2019-08;2016-08;2015-02;2013-08;2012-02,,@book?n=MI-apsemm&ed=4&vol=0#39
S_MI_1.1.1.1.42,Nucleic Acid Probes,,True,2,2016-02;2012-08,,@book?n=MI-apsemm&ed=4&vol=0#41
S_MI_1.1.1.1.43,Plasmid,,True,5,2020-02;2014-08;2013-02;2010-08;2009-08,,@book?n=MI-apsemm&ed=4&vol=0#44
S_MI_1.1.1.1.44,Gene Transfer,- Various methods of gene transfer;- Transformation,True,1,2022-03,,@book?n=MI-apsemm&ed=4&vol=0#44
S_MI_1.1.1.1.45,Mutation,,True,5,2023-07;2018-08;2012-08;2011-08;2010-08,,@book?n=MI-apsemm&ed=4&vol=0#44
S_MI_1.1.1.1.46,Transduction,"- Mechanism
- Types",True,2,2013-08;2009-08,,@book?n=MI-apsemm&ed=4&vol=0#45
S_MI_1.1.1.1.47,Conjugation,,True,2,2015-08;2010-02,,@book?n=MI-apsemm&ed=4&vol=0#47
S_MI_1.1.1.1.48,Transposons,,True,4,2023-07;2022-08;2019-02;2011-08,,@book?n=MI-apsemm&ed=4&vol=0#48
S_MI_1.1.1.1.49,Genetic engineering,"- Definition
- Procedure and application
- Recombinant DNA technology in vaccine production",True,3,2023-02;2022-08;2018-02,,@book?n=MI-apsemm&ed=4&vol=0#48
S_MI_1.1.1.1.50,Bacterial Virulence,,True,2,2017-02;2008-08,,@book?n=MI-apsemm&ed=4&vol=0#58
S_MI_1.1.1.1.51,Exotoxins,- Bacteria producing exotoxins;- Exotoxin producing shigella species,True,4,2018-02;2014-02;2013-02;2010-02,,@book?n=MI-apsemm&ed=4&vol=0#60
S_MI_1.1.1.1.52,Difference Between Exotoxin and Endotoxin,,True,1,2008-08,,@book?n=MI-apsemm&ed=4&vol=0#59
S_MI_1.1.1.1.53,Mycoplasma,- Lab Diagnosis,True,2,2014-02;2009-02,,@book?n=MI-apsemm&ed=4&vol=0#18;@book?n=MI-apsemm&ed=4&vol=0#69
S_MI_1.1.1.1.54,Pleomorphism,,True,1,2013-08,,@book?n=MI-apsemm&ed=4&vol=0#18
S_MI_1.1.1.1.55,Non-Sporing Anaerobic Infections,,True,1,2009-02,,@book?n=MI-apsemm&ed=4&vol=0#68
