Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_MI_2.1,Sterilization,"- Definition and Classification
- Moist Heat sterilization;- Chemical Methods;- Sterilization by Heat",True,4,2014-08;2011-02;2009-08;2008-08,,@book?n=MI-apsemm&ed=4&vol=0#222;@book?n=MI-apsemm&ed=3&vol=0#253
E_MI_2.2,Disinfection,"- Definition and Properties of an Ideal Disinfectant
- Disinfecting agents and their applications",True,1,2012-08,,@book?n=MI-apsemm&ed=4&vol=0#220;@book?n=MI-apsemm&ed=4&vol=0#226
S_MI_2.1.1,Moist Heat Sterilization,,True,1,2013-08,,@book?n=MI-apsemm&ed=4&vol=0#222
S_MI_2.1.2,"Heat Sterilization ",,True,5,2023-02;2022-02;2018-08;2015-08;1997-04,,@book?n=MI-apsemm&ed=4&vol=0#222
S_MI_2.1.3,Gas Sterilization,,True,3,2022-08;2020-02;2018-02,,@book?n=MI-apsemm&ed=4&vol=0#223
S_MI_2.1.4,Hot Air Oven,,True,4,2010-02;2009-02;2008-02;2005-08,,@book?n=MI-apsemm&ed=4&vol=0#225
S_MI_2.1.5,Cold Sterilization,,True,6,2023-07;2020-02;2019-02;2015-02;2009-02;2008-02,,@book?n=MI-apsemm&ed=4&vol=0#223
S_MI_2.1.6,High Level Disinfection,,True,1,2017-02,,@book?n=MI-apsemm&ed=4&vol=0#226
S_MI_2.1.7,Chemical Disinfectants,,True,1,2016-08,,@book?n=MI-apsemm&ed=4&vol=0#226
S_MI_2.1.8,Testing of Disinfectant,,True,1,2001-11,,@book?n=MI-apsemm&ed=4&vol=0#229
S_MI_2.1.9,Nosocomial Infections,,True,2,2010-08;2003-10,,@book?n=MI-apsemm&ed=4&vol=0#203;@book?n=MI-apsemm&ed=3&vol=0#241
