Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_MI_3.1.1,Hypersensitivity Reactions,"- Definition and Classification
- Hypersensitivity Type 1",True,1,2008-08,,@book?n=MI-apsemm&ed=4&vol=0#174
E_MI_3.1.2,Anaphylaxis,,True,1,,,@book?n=MI-apsemm&ed=4&vol=0#176
E_MI_3.1.3,Immunity,"- Types
- Acquired Immunity",True,1,2005-08,,@book?n=MI-apsemm&ed=4&vol=0#119
E_MI_3.1.4,Antibody,"- Definition
- Antibody Synthesis in Human Immune System
- Functions of Different Immunoglobulins",True,1,2001-04,,@book?n=MI-apsemm&ed=4&vol=0#129
E_MI_3.1.5,Antigen Antibody Reaction,"- Definition
- Precipitation Reaction",True,4,2023-12;2010-08;2008-06;2002-03,,@book?n=MI-apsemm&ed=4&vol=0#136;@book?n=MI-apsemm&ed=3&vol=0#152
E_MI_3.1.6,Immunofluorescence,,True,1,2013-08,,@book?n=MI-apsemm&ed=4&vol=0#143
E_MI_3.1.7,Complement,"- Definition
- Alternate C Pathway
- Biological effects of Complement
- Genetic deficiencies of Complement",True,1,2016-02,,@book?n=MI-apsemm&ed=4&vol=0#146
S_MI_3.1.1.1.1,Hypersensitivity Type 2,,True,1,2006-02,,@book?n=MI-apsemm&ed=4&vol=0#177
S_MI_3.1.1.1.2,Hypersensitivity Type 3,,True,2,2013-08;2008-08,,@book?n=MI-apsemm&ed=4&vol=0#178
S_MI_3.1.1.1.3,Hypersensitivity Type 4,,True,3,2016-08;2010-08;2004-08,,@book?n=MI-apsemm&ed=4&vol=0#179;@book?n=MI-apsemm&ed=3&vol=0#200
S_MI_3.1.1.1.4,Mechanism of Autoimmunity,,True,6,2018-02;2014-08;2010-08;2008-04;2001-11;1994-11,,@book?n=MI-apsemm&ed=4&vol=0#182
S_MI_3.1.1.1.5,Non-Organ Specific Autoimmune Disorder,,True,2,2014-08;2011-02,,@book?n=MI-apsemm&ed=4&vol=0#183;@book?n=MI-apsemm&ed=3&vol=0#206
S_MI_3.1.1.1.6,Immunological Tolerance,,True,1,2011-08,,@book?n=MI-apsemm&ed=4&vol=0#182;@book?n=MI-apsemm&ed=3&vol=0#203
S_MI_3.1.1.1.7,Combined Immunodeficiency Disorders,,True,1,2011-02,,@book?n=MI-apsemm&ed=4&vol=0#186;@book?n=MI-apsemm&ed=3&vol=0#210
S_MI_3.1.1.1.8,Allograft Rejection,,True,1,2014-02,,@book?n=MI-apsemm&ed=4&vol=0#189;@book?n=MI-apsemm&ed=3&vol=0#213
S_MI_3.1.1.1.9,HLA Typing,,True,2,2019-08;2018-08,,@book?n=MI-apsemm&ed=4&vol=0#161
S_MI_3.1.1.1.10,Graft vs Host Reactions,,True,4,2017-08;2016-08;2010-08;2009-02,,@book?n=MI-apsemm&ed=4&vol=0#190
S_MI_3.1.1.1.11,Tumor Antigens,,True,3,2021-09;2015-08;2013-08,,@book?n=MI-apsemm&ed=4&vol=0#193
S_MI_3.1.1.1.12,Innate Immunity,,True,2,2012-08;2006-02,,@book?n=MI-apsemm&ed=4&vol=0#119
S_MI_3.1.1.1.13,C Reactive Protein,,True,1,2018-08,,@book?n=MI-apsemm&ed=4&vol=0#121
S_MI_3.1.1.1.14,Acquired Immunity,,True,1,2009-08,,@book?n=MI-apsemm&ed=4&vol=0#122
S_MI_3.1.1.1.15,Active Immunity,,True,2,2014-08;2009-02,,@book?n=MI-apsemm&ed=4&vol=0#122
S_MI_3.1.1.1.16,Passive Immunity,,True,1,2009-02,,@book?n=MI-apsemm&ed=4&vol=0#123
S_MI_3.1.1.1.17,Herd Immunity,,True,1,2013-02,,@book?n=MI-apsemm&ed=4&vol=0#124
S_MI_3.1.1.1.18,Hapten,,True,2,2023-09;2016-02,,@book?n=MI-apsemm&ed=4&vol=0#125;@book?n=MI-apsemm&ed=3&vol=0#140
S_MI_3.1.1.1.19,Heterophile Antigen,,True,1,1992-04,,@book?n=MI-apsemm&ed=4&vol=0#126
S_MI_3.1.1.1.20,Adjuvant,,True,3,2011-08;2010-02;1990-12,,@book?n=MI-apsemm&ed=4&vol=0#126
S_MI_3.1.1.1.21,Superantigens,,True,1,2010-08,,@book?n=MI-apsemm&ed=4&vol=0#127
S_MI_3.1.1.1.22,Immunoglobulin G,,True,2,2019-02;2008-08,,@book?n=MI-apsemm&ed=4&vol=0#131;@book?n=MI-apsemm&ed=3&vol=0#146
S_MI_3.1.1.1.23,Immunoglobulin M,,True,4,2022-02;2019-08;2012-08;2008-08,,@book?n=MI-apsemm&ed=4&vol=0#131
S_MI_3.1.1.1.24,Immunoglobulin A,,True,2,2009-02;2008-08,,@book?n=MI-apsemm&ed=4&vol=0#132;@book?n=MI-apsemm&ed=3&vol=0#147
S_MI_3.1.1.1.25,Immunoglobulin E,,True,3,2010-02;2005-08;1990-12,,@book?n=MI-apsemm&ed=4&vol=0#133
S_MI_3.1.1.1.26,Abnormal Immunoglobulins,,True,1,2011-08,,@book?n=MI-apsemm&ed=4&vol=0#133
S_MI_3.1.1.1.27,Monoclonal Antibody,,True,5,2013-08;2013-02;2009-08;2008-02;1997-04,,@book?n=MI-apsemm&ed=4&vol=0#133;@book?n=MI-apsemm&ed=3&vol=0#149
S_MI_3.1.1.1.28,Precipitation Reaction,,True,1,2015-08,,@book?n=MI-apsemm&ed=4&vol=0#138;@book?n=MI-apsemm&ed=3&vol=0#153
S_MI_3.1.1.1.29,Agglutination Reaction,,True,2,2012-02;1991-12,,@book?n=MI-apsemm&ed=4&vol=0#138
S_MI_3.1.1.1.30,Agglutination Reaction,,True,1,2015-08,,@book?n=MI-apsemm&ed=4&vol=0#138
S_MI_3.1.1.1.31,Passive Agglutination Test,,True,2,2013-02;1994-11,,@book?n=MI-apsemm&ed=4&vol=0#139
S_MI_3.1.1.1.32,ELISA,,True,3,2020-02;2006-02;1996-04,,@book?n=MI-apsemm&ed=4&vol=0#140
S_MI_3.1.1.1.33,Immunofluorescence,,True,4,2008-02;2003-08;2000-10;2000-04,,@book?n=MI-apsemm&ed=4&vol=0#143
S_MI_3.1.1.1.34,Western Blot,,True,2,2017-02;2013-02,,@book?n=MI-apsemm&ed=4&vol=0#144
S_MI_3.1.1.1.35,Affinity and Avidity,,True,1,2018-08,,@book?n=MI-apsemm&ed=4&vol=0#136
S_MI_3.1.1.1.36,Alternate Compliment Pathway,,True,2,2013-08;2005-08,,@book?n=MI-apsemm&ed=4&vol=0#147
S_MI_3.1.1.1.37,Complement Deficiency Disease,,True,2,2019-02;2018-08,,@book?n=MI-apsemm&ed=4&vol=0#150
S_MI_3.1.1.1.38,Biological Functions of Complement,,True,1,2008-08,,@book?n=MI-apsemm&ed=4&vol=0#149
S_MI_3.1.1.1.39,Mucosa Associated Lymphoid Tissue (MALT),,True,1,2018-02,,@book?n=MI-apsemm&ed=4&vol=0#154
S_MI_3.1.1.1.40,T Lymphocyte,,True,2,2004-08;1995-11,,@book?n=MI-apsemm&ed=4&vol=0#155
S_MI_3.1.1.1.41,T-Cells and B-Cells,,True,3,2012-08;2011-02;2010-08,,@book?n=MI-apsemm&ed=4&vol=0#155
S_MI_3.1.1.1.42,T-Cell Subsets,,True,2,1997-10;1996-10,,@book?n=MI-apsemm&ed=4&vol=0#157
S_MI_3.1.1.1.43,Structure and Function of B-Cell,,True,1,2016-08,,@book?n=MI-apsemm&ed=4&vol=0#171;@book?n=MI-apsemm&ed=3&vol=0#174
S_MI_3.1.1.1.44,Major Histocompatibility Complex (MHC) (or) Human Leucocyte Antigens (HLA),,True,2,2011-08;2011-02,,@book?n=MI-apsemm&ed=4&vol=0#161;@book?n=MI-apsemm&ed=3&vol=0#178
S_MI_3.1.1.1.45,Cytokines,,True,1,2011-02,,@book?n=MI-apsemm&ed=4&vol=0#162
