Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_MI_4.1.1.1,Plague,"- Morphology
- Cultural Characters
- Pathogenesis
- Laboratory Diagnosis",True,1,1995-11,,@book?n=MI-apsemm&ed=4&vol=0#671;@book?n=MI-apsemm&ed=3&vol=0#807
S_MI_4.1.1.1.1,Zoonotic Bacterial Disease,,True,6,2017-08;2014-08;2014-02;2008-08;2000-04;1999-04,,@book?n=MI-apsemm&ed=4&vol=0#671;@book?n=MI-apsemm&ed=3&vol=0#807
S_MI_4.1.1.1.2,Plague,,True,4,2022-03;2022-02;2012-08;2001-11,,@book?n=MI-apsemm&ed=4&vol=0#671;@book?n=MI-apsemm&ed=3&vol=0#807
S_MI_4.1.1.1.3,Bubonic Plague,,True,1,2022-03,,@book?n=MI-apsemm&ed=4&vol=0#673;@book?n=MI-apsemm&ed=3&vol=0#809
S_MI_4.1.1.1.4,Zoonotic Parasitic Disease,,True,2,2019-08;2006-02,,@book?n=MI-apsemm&ed=4&vol=0#671;@book?n=MI-apsemm&ed=3&vol=0#807
S_MI_4.1.1.1.5,Keratoconjunctivitis,,True,1,2019-08,,@book?n=MI-apsemm&ed=4&vol=0#655;@book?n=MI-apsemm&ed=3&vol=0#782
S_MI_4.1.1.1.6,Conjunctivitis,,True,1,2011-08,,@book?n=MI-apsemm&ed=4&vol=0#653;@book?n=MI-apsemm&ed=3&vol=0#779
S_MI_4.1.1.1.7,Chlamydial Conjunctivitis,,True,2,2023-07;2022-08,,@book?n=MI-apsemm&ed=4&vol=0#653;@book?n=MI-apsemm&ed=3&vol=0#781
S_MI_4.1.1.1.8,Parasites Infecting Eye,,True,2,2012-02;2008-08,,@book?n=MI-apsemm&ed=4&vol=0#655;@book?n=MI-apsemm&ed=3&vol=0#786
S_MI_4.1.1.1.9,Ocular Fungal Infections,,True,1,2023-07,,@book?n=MI-apsemm&ed=4&vol=0#656;@book?n=MI-apsemm&ed=3&vol=0#788
S_MI_4.1.1.1.10,Mycotic Keratitis,,True,1,2012-08,,@book?n=MI-apsemm&ed=4&vol=0#656;@book?n=MI-apsemm&ed=3&vol=0#789
S_MI_4.1.1.1.11,Otomycosis,,True,6,2022-02;2020-11;2017-02;2013-08;2011-02;2009-02,,@book?n=MI-apsemm&ed=4&vol=0#658;@book?n=MI-apsemm&ed=3&vol=0#791
S_MI_4.1.1.1.12,Congenital Infection,,True,1,2022-03,,@book?n=MI-apsemm&ed=4&vol=0#659;@book?n=MI-apsemm&ed=3&vol=0#793
S_MI_4.1.1.1.13,Congenital Syphilis,,True,1,2022-03,,@book?n=MI-apsemm&ed=4&vol=0#664;@book?n=MI-apsemm&ed=3&vol=0#799
S_MI_4.1.1.1.14,Congenital Viral Infections,,True,1,2001-04,,@book?n=MI-apsemm&ed=4&vol=0#660;@book?n=MI-apsemm&ed=3&vol=0#793
S_MI_4.1.1.1.15,Congenital Rubella Syndrome,,True,2,2023-07;2023-02,,@book?n=MI-apsemm&ed=4&vol=0#660;@book?n=MI-apsemm&ed=3&vol=0#794
S_MI_4.1.1.1.16,Congenital Toxoplasmosis,,True,1,2017-08,,@book?n=MI-apsemm&ed=4&vol=0#659;@book?n=MI-apsemm&ed=3&vol=0#793
S_MI_4.1.1.1.17,Oncogenic Viruses,,True,3,2016-02;2014-02;2012-08,,@book?n=MI-apsemm&ed=4&vol=0#665;@book?n=MI-apsemm&ed=3&vol=0#800
S_MI_4.1.1.1.18,Mechanism of Viral Oncogenesis,,True,1,1998-11,,@book?n=MI-apsemm&ed=4&vol=0#665;@book?n=MI-apsemm&ed=3&vol=0#801
S_MI_4.1.1.1.19,Epstein-Barr Virus (EBV) associated Malignancy,,True,2,2015-08;2014-02,,@book?n=MI-apsemm&ed=4&vol=0#667;@book?n=MI-apsemm&ed=3&vol=0#802
