Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_MI_5.1.1.1,Gas Gangrene,"- Pathogenesis
- Clinical Manifestation
- Laboratory Diagnosis
- Management",True,3,2023-02;2022-03;2007-08,"Following RTA, edema, crushed muscles & pain. On palpation, **crepitus** felt.",@book?n=MI-apsemm&ed=4&vol=0#439;@book?n=MI-apsemm&ed=3&vol=0#529
E_MI_5.1.1.2,Streptococci,"- Classification
- Pathogenesis
- Sequelae
- Laboratory Diagnosis",True,3,2001-11;2001-04;1991-12,,@book?n=MI-apsemm&ed=4&vol=0#431;@book?n=MI-apsemm&ed=3&vol=0#520
E_MI_5.1.1.3,Bacillus anthracis,"- Morphology
- Cultural Characters
- Pathogenesis
- Laboratory Diagnosis",True,3,2007-08;2002-03;2000-10,,@book?n=MI-apsemm&ed=4&vol=0#449;@book?n=MI-apsemm&ed=3&vol=0#539
E_MI_5.1.1.4,Herpes Virus,"- Classification
- Morphology
- Pathogenesis
- Lab Diagnosis",True,7,2015-08;2014-08;2008-08;2006-08;2004-08;2001-04;1995-04,,@book?n=MI-apsemm&ed=4&vol=0#459;@book?n=MI-apsemm&ed=3&vol=0#550
S_MI_5.1.1.1.1,Gas Gangrene,,True,5,2023-02;2019-08;2009-08;2003-10;2000-04,,@book?n=MI-apsemm&ed=4&vol=0#439;@book?n=MI-apsemm&ed=3&vol=0#529
S_MI_5.1.1.1.2,Nagler's Reaction,,True,5,2022-02;2010-02;2009-02;2004-08;1997-10,,@book?n=MI-apsemm&ed=4&vol=0#440;@book?n=MI-apsemm&ed=3&vol=0#531
S_MI_5.1.1.1.3,Toxins of Clostridium perfringens,,True,1,2011-08,,@book?n=MI-apsemm&ed=4&vol=0#438;@book?n=MI-apsemm&ed=3&vol=0#529
S_MI_5.1.1.1.4,Virulence Factors of Staphylococci,,True,4,2016-08;2012-02;2004-08;1997-10,,@book?n=MI-apsemm&ed=4&vol=0#422;@book?n=MI-apsemm&ed=3&vol=0#511
S_MI_5.1.1.1.5,Toxic Shock Syndrome,,True,1,2023-07,,@book?n=MI-apsemm&ed=4&vol=0#423;@book?n=MI-apsemm&ed=3&vol=0#512
S_MI_5.1.1.1.6,Methicillin Resistant Staphylococcus aureus (MRSA),,True,3,2022-03;2007-02;1998-04,,@book?n=MI-apsemm&ed=4&vol=0#428;@book?n=MI-apsemm&ed=3&vol=0#517
S_MI_5.1.1.1.7,Special Characters of Staphylococcus aureus,,True,1,2013-08,,@book?n=MI-apsemm&ed=4&vol=0#422;@book?n=MI-apsemm&ed=3&vol=0#517
S_MI_5.1.1.1.8,Classification of Streptococci,,True,1,2023-07,,@book?n=MI-apsemm&ed=4&vol=0#430;@book?n=MI-apsemm&ed=3&vol=0#520
S_MI_5.1.1.1.9,Toxins and Virulence Factors of Streptococci,,True,6,2023-02;2019-02;2017-08;2011-02;2003-10;2001-04,,@book?n=MI-apsemm&ed=4&vol=0#431;@book?n=MI-apsemm&ed=3&vol=0#521
