Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_AN_11.1.1.1.1,Diphtheria (or) Corynebacterium diphtheriae,"- Morphology
- Culture Characters
- Lab Diagnosis",True,1,1993-11,,@book?n=MI-apsemm&ed=4&vol=0#492;@book?n=MI-apsemm&ed=3&vol=0#599
E_MI_11.1.1.1.2,COVID-19 Infection,"- List of other Organisms causing Interstitial Pneumonia
- Structure of the Organism
- COVID-19 Vaccine;- Transmission
- Pathogenesis
- Clinical Manifestations
- Microbiological and Non-Microbiological Investigations
- Prevention and Control",True,2,2022-08;2022-03,"A 55 years old male patient was admitted in ICU were with fever, cough with expectoration, fatigue and sore throat. There is H/O loss of smell and taste. The contact history with fever patient before 5 days is also elucidated.;A 65 year old male patient admitted in the hospital with history of fever, sore throat, head ache, body pain and loss of taste and smell. Symptomatic treatment was given. After 2 days, he developed difficulty in breathing, his oxygen saturation was <90 %. Blood investigations like CRP, D-dimer and IL-6 were elevated. CT Chest shows ground glass opacities. Patient was treated with high flow oxygen, steroid, antibiotics and antiviral agents.",@book?n=MI-apsemm&ed=4&vol=0#552;@book?n=MI-apsemm&ed=3&vol=0#662
E_AN_11.1.1.1.1,Pertussis (or) Whooping Cough (or) Bordetella Pertussis,"- Etiology
- Pathogenesis
- Lab Diagnosis",True,1,2011-08,,@book?n=MI-apsemm&ed=4&vol=0#530;@book?n=MI-apsemm&ed=3&vol=0#638
E_MI_11.1.1.1.2,Influenza (or) Swine Flu,"- Morphology
- Pathogenesis
- Lab Diagnosis",True,1,2010-02,,@book?n=MI-apsemm&ed=4&vol=0#543;@book?n=MI-apsemm&ed=3&vol=0#648
E_AN_11.1.1.1.1,Tuberculosis,"- Classify Mycobacteria
- Pathogenesis
- Lab Diagnosis",True,5,2007-02;2005-08;2004-08;2001-11;1994-11,,@book?n=MI-apsemm&ed=4&vol=0#515;@book?n=MI-apsemm&ed=3&vol=0#623
S_MI_11.1.1.1.1,Melioidosis,"- Clinical Features
- Lab Diagnosis",True,2,2022-03;2013-02,,@book?n=MI-apsemm&ed=4&vol=0#536;@book?n=MI-apsemm&ed=3&vol=0#644
S_MI_11.1.1.1.2,Aspergillosis (or) Aspergilloma,"- Pathogenesis
- Clinical Features
- Laboratory Diagnosis",True,4,2023-03;2022-08;2006-02;1992-04,,@book?n=MI-apsemm&ed=4&vol=0#565;@book?n=MI-apsemm&ed=3&vol=0#681
S_MI_11.1.1.1.3,COVID-19,- Structure of SARS CoV-2,True,2,2023-03;2022-08,,@book?n=MI-apsemm&ed=4&vol=0#552;@book?n=MI-apsemm&ed=3&vol=0#662
S_MI_11.1.1.1.4,Pertussis (or) Whooping Cough (or) Bordetella pertussis,- Prophylaxis,True,2,2023-03;2018-02,,@book?n=MI-apsemm&ed=4&vol=0#530;@book?n=MI-apsemm&ed=3&vol=0#638
S_MI_11.1.1.1.5,Diphtheria (or) Corynebacterium diphtheriae,"- Pathogenesis
- Lab Diagnosis;- Elek's Gel Precipitation Test;- Test for Toxin produced by C. diphtheriae",True,9,2023-07;2022-02;2010-08;2009-08;2008-08;2005-08;2003-10;2000-04;1992-04,"A 5 year old child had High Grade Fever, Pain in the Throat with Difficulty in Swallowing. On examination the child was Toxic, White Patch was found on the throat which bleeds on touch. Immunization status not known.",@book?n=MI-apsemm&ed=4&vol=0#492;@book?n=MI-apsemm&ed=3&vol=0#599
