Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_PA_9.1.1.1.1,Metastasis,"- Define Metastasis
- Different Pathways of Spread",True,1,2008-07,,@book?n=PA-rbpbdsa&ed=10&vol=1#273
S_PA_9.1.1.1.1,Metastasis,,True,2,2019-08;2011-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#273
S_PA_9.1.1.1.2,Oncogenic Viruses,,True,2,2013-02;2008-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#323
S_PA_9.1.1.1.3,Fine Needle Aspiration Cytology (FNAC),,True,2,2009-08;2008-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#331
S_PA_9.1.1.1.4,Lab Diagonosis of Cancer,,True,2,2019-02;2009-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#331
S_PA_9.1.1.1.5,Grading and Staging of Tumors,,True,1,2009-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#330
S_PA_9.1.1.1.6,Automatic Tissue Processor,,True,1,2009-02,,
E_PA_9.1.1.1.2,Oncogenic Viruses,"- Mention Oncogenic Viruses
- Oncogenesis by Human Papilloma Virus",True,1,2009-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#324
S_PA_9.1.1.1.7,Tumour Markers,,True,4,2022-08;2018-08;2017-02;2009-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#335
S_PA_9.1.1.1.8,Difference Between Benign and Malignant Tumor,,True,3,2023-02;2016-08;2009-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#276
S_PA_9.1.1.1.9,Tumour Suppressor Genes,,True,2,2014-02;2010-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#291
E_PA_9.1.1.1.3,Carcinogenic Agents,"- Various Carcinogenic Agents
- Classify Chemical Carcinogens
- Steps in Chemical Carcinogenesis",True,1,2010-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#321
S_PA_9.1.1.1.10,Paraneoplastic Syndromes,,True,3,2022-08;2014-02;2010-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#328
S_PA_9.1.1.1.11,Molecular Basis of Cancer,,True,1,2011-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#281
S_PA_9.1.1.1.12,Hamartoma,,True,1,2011-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#269
S_PA_9.1.1.1.13,Difference Between Differentiation and Anaplasia,,True,1,2012-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#270
E_PA_9.1.1.1.4,Carcinogenesis,"- Physical, Chemical & Biological Carcinogenesis
- Molecular Basis of Cancer",True,1,2012-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#320
S_PA_9.1.1.1.14,Epstein-Barr Virus,,True,2,2020-08;2014-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#325
S_PA_9.1.1.1.15,P53,,True,1,2014-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#294
S_PA_9.1.1.1.16,Chemical Carcinogenesis,,True,4,2023-02;2023-02;2020-11;2018-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#321
E_PA_9.1.1.1.5,Neoplasia,"- Define Neoplasia
- Pathogenesis Pathophysiology of Radiation Carcinogenesis;- Define Neoplasia
- Molecular Basis of Cancer;- Oncogenesis and Their Mode of Activation;- Define Neoplasms
- Features of Anaplasia
- Invasion and Metastasis",True,3,2021-09;2018-08;2015-08,,@book?n=PA-rbpbdsa&ed=10&vol=1#323;@book?n=PA-rbpbdsa&ed=10&vol=1#306;@book?n=PA-rbpbdsa&ed=10&vol=1#268
S_PA_9.1.1.1.17,Carcinogens,"- Types
- Microbial Carcinogens",True,1,2023-07,,@book?n=PA-rbpbdsa&ed=10&vol=1#323
S_PA_9.1.1.1.18,Dysplasia,,True,2,2018-08;1995-04,,@book?n=PA-rbpbdsa&ed=10&vol=1#272
S_PA_9.1.1.1.19,Growth Factors,,True,2,2021-09;2015-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#286
S_PA_9.1.1.1.20,Carcinoma In Situ,,False,1,,,@book?n=PA-rbpbdsa&ed=10&vol=1#272
S_PA_9.1.1.1.21,Tumour Antigen,,True,1,2013-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#309
S_PA_9.1.1.1.22,Warburg Effect,,True,1,2012-02,,@book?n=PA-rbpbdsa&ed=10&vol=1#299
