Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_PA_16.1.1.1.1,Gynecomastia,,True,2,2009-08;2008-08,"A 50 year old male who is an alcoholic for the past 20 years was diagnosed to have Liver Cirrhosis. On examination, There is a sub-areolar enlargement of Breast.",@book?n=PA-rbpbdsa&ed=10&vol=2#1044
S_PA_16.1.1.1.2,Phyllodes Tumor (or) Cystosarcoma Phylloides,,True,8,2019-08;2014-02;2012-08;2011-08;2009-08;2006-08;2005-01;2001-11,"A 60 year old female presented with complaints of a unilateral breast lump on right side, which suddenly increased in size for the past few days. On histology, Leaf-like Architecture was seen.",@book?n=PA-rbpbdsa&ed=10&vol=2#1062
S_PA_16.1.1.1.3,Stromal Tumours of Breast,- Types,True,1,2011-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#1061
E_PA_16.1.1.1.1,Breast Carcinoma,"- Pathogenesis
- Classification
- Morphology
- Prognostic and Predictive factors
- Staging and Spread",True,8,2023-07;2022-08;2022-03;2018-02;2012-02;2007-08;1995-04;1991-01,"A 44 year old nulliparous women presented with hard, fixed non tender mass of about 6x4x4 cm in the upper quadrant of right breast with axillary lymphadenopathy. FNAC revealed cluster of pleomorphic cells.",@book?n=PA-rbpbdsa&ed=10&vol=2#1046
S_PA_16.1.1.1.4,Prognostic and Predictive factors of Breast Carcinoma,,True,3,2023-07;2016-08;2013-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#1058
S_PA_16.1.1.1.5,Fibroadenoma,,True,1,2013-08,"A 29 year old female, Multipara is under Cyclosporin treatment due to renal Transplantation. She presented with a mobile well circumscribed mass with rubbery in consistency in both Breasts.",@book?n=PA-rbpbdsa&ed=10&vol=2#1062
S_PA_16.1.1.1.6,Risk Factors and Types of Breast Carcinoma,,True,1,2017-02,,@book?n=PA-rbpbdsa&ed=10&vol=2#1046
S_PA_16.1.1.1.7,Paget's Disease of Breast,,True,3,2021-09;2002-03;1999-04,,@book?n=PA-rbpbdsa&ed=10&vol=2#1053
S_PA_16.1.1.1.8,Comedocarcinoma of Breast,,True,1,2023-02,,@book?n=PA-rbpbdsa&ed=10&vol=2#1053
S_PA_16.1.1.1.9,Etiopathogenesis of Breast Carcinoma,,True,1,1996-04,,@book?n=PA-rbpbdsa&ed=10&vol=2#1047
S_PA_16.1.1.1.10,Fibrocystic Disease of Breast,,True,1,2005-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#1042
S_PA_16.1.1.1.11,Benign Diseases of Breast,,True,1,2023-02,,@book?n=PA-rbpbdsa&ed=10&vol=2#1042
S_PA_16.1.1.1.12,Acute Mastitis,,False,2,,A postnatal mother after few days of breastfeeding came with complaints of painful and erythematous breasts and fever.,@book?n=PA-rbpbdsa&ed=10&vol=2#1040
