Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_PA_17.1.1.1.1,Meningitis,,True,1,2023-07,A 10 year old male child presented to paediatric OPD with complaints of **fever for the last 10 days** with **projectile vomiting** and **irritable mood**.,@book?n=PA-rbpbdsa&ed=10&vol=2#1261
S_PA_17.1.1.1.2,Pyogenic Meningitis,,True,3,2014-02;2010-02;2009-02,,@book?n=PA-rbpbdsa&ed=10&vol=2#1262
S_PA_17.1.1.1.3,Tuberculous Meningitis,,True,4,2011-08;2003-10;2001-11;1995-04,,@book?n=PA-rbpbdsa&ed=10&vol=2#1263
S_PA_17.1.1.1.4,Brain Tumors,,True,1,1993-11,,@book?n=PA-rbpbdsa&ed=10&vol=2#1293
S_PA_17.1.1.1.5,Meningioma,,True,10,2023-07;2017-08;2012-02;2008-02;2006-08;2005-02;2002-03;2001-04;2000-10;1997-10;1995-11,,@book?n=PA-rbpbdsa&ed=10&vol=2#1300
S_PA_17.1.1.1.6,Astrocytoma,,True,3,2009-08;2005-08;1995-04,,@book?n=PA-rbpbdsa&ed=10&vol=2#1293
S_PA_17.1.1.1.7,Pilocytic Astrocytoma,,True,2,2012-08;2010-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#1296
S_PA_17.1.1.1.8,Paraganglioma,,True,2,2022-02;2012-02,,@book?n=PA-rbpbdsa&ed=10&vol=2#746
S_PA_17.1.1.1.9,Glioblastoma,,True,6,2023-12;2023-07;2019-08;2015-08;1998-10;1995-04,,@book?n=PA-rbpbdsa&ed=10&vol=2#1293
S_PA_17.1.1.1.10,Prion Diseases (or) Creutzfeldt-Jakob (CJ) Disease,,True,2,2014-08;2013-08,,@book?n=PA-rbpbdsa&ed=10&vol=2#1273
S_PA_17.1.1.1.11,Examination of CSF,,True,1,2001-04,,@book?n=PA-rbpbdsa&ed=10&vol=2#1261
S_PA_17.1.1.1.12,Medulloblastoma,,True,1,2023-02,,@book?n=PA-rbpbdsa&ed=10&vol=2#1298
