Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_PH_2.1.1.1.1,Beta-Blockers,"- Classification
- Pharmacological Effects
- Uses
- Adverse Effects;- Drug receptor
- Enumerate Beta Blockers
- Adverse effects and Contraindications of Non Cardio Selective Beta Blockers;- Mechanism of action of Proponalol
- Pharmacological Action of Proponalol
- Therapeutic uses of Proponalol;- Therapeutic uses
- Advantages of cardio Selective Beta Blockers;- Role of Beta Blockers in Thyrotoxicosis",True,7,2023-02;2016-08;2012-02;2007-02;2004-08;2002-03;2000-10,,@book?n=PH-kdtemp&ed=8&vol=0#157
E_PH_2.1.1.1.2,Adrenaline,"- Classification of Sympathomimetics
- Cardiovascular Action
- Therapeutic Uses
- Adverse Effects;- Mechanism of Action
- Contraindications",True,5,2013-02;2011-02;2009-02;2005-08;2005-02,,@book?n=PH-kdtemp&ed=8&vol=0#136
E_PH_2.1.1.1.3,Organo-phosphorus Compound poisoning,"- Antidote
- Receptor antagonism with suitable diagrams
- Cholinergic crisis in Myasthenia Gravis",True,1,2021-02,,@book?n=PH-kdtemp&ed=8&vol=0#122
E_PH_2.1.1.1.4,Muscarinic Receptor Blockers,"- Natural and Synthetic drugs
- Action on Eye and Smooth Muscles with Indications
- Systemic Adverse Effects",True,1,2000-10,,@book?n=PH-kdtemp&ed=8&vol=0#124
E_PH_2.1.1.1.5,Atropine,"- Classification of Anti-Cholinergic drugs
- Therapeutic Action
- Adverse Effects
- Contraindications
- Managements of Atropine Poisoning;- Atropine Derivatives and Their Uses",True,2,2009-08;2007-08,,@book?n=PH-kdtemp&ed=8&vol=0#124
E_PH_2.1.1.1.6,Anti-Cholinersterases,"- Mechanism of Action
- Indication of Reversible Anti-Cholinersterases
- Management of Acute Organophosphorus Poisoning",True,1,2013-08;2011-08,,@book?n=PH-kdtemp&ed=8&vol=0#116
S_PH_2.1.1.1.1,Adrenaline,,True,1,2017-08,,@book?n=PH-kdtemp&ed=8&vol=0#136
S_PH_2.1.1.1.2,Labetalol,"- Uses 
- Adverse Effects",True,1,2019-02,,@book?n=PH-kdtemp&ed=8&vol=0#165
S_PH_2.1.1.1.3,Dopamine in Cardiogenic Shock,,True,2,2010-02;2009-08,,@book?n=PH-kdtemp&ed=8&vol=0#146
S_PH_2.1.1.1.4,Uroselective Alpha Adrenergic Blockers,,True,1,2012-08,,@book?n=PH-kdtemp&ed=8&vol=0#156
S_PH_2.1.1.1.5,Therapeutic uses of Adrenergic Drugs,,True,2,2022-03;2014-02,,@book?n=PH-kdtemp&ed=8&vol=0#150
S_PH_2.1.1.1.6,Alpha Adrenergic Blockers,- Therapeutic Uses,True,4,2018-08;2016-08;2012-02;2010-08;2009-02;2002-10,,@book?n=PH-kdtemp&ed=8&vol=0#153
S_PH_2.1.1.1.7,Beta-Blockers,"- Therapeutic uses
- Contraindications;- Indications 
- Contraindications
- Extra-Cardiac Uses;- Adverse Effects",True,6,2022-08;2021-09;2012-08;2009-08;2009-02;2008-08;2002-03;1993-01,,@book?n=PH-kdtemp&ed=8&vol=0#160
S_PH_2.1.1.1.8,Treatment for Benign Prostatic Hypertrophy (BPH),"- Preferred drugs
- Rational in using them",True,1,2023-07,,@book?n=PH-kdtemp&ed=8&vol=0#157
S_PH_2.1.1.1.9,Beta Stimulants,,True,1,1995-11,,@book?n=PH-kdtemp&ed=8&vol=0#149
S_PH_2.1.1.1.10,Proponalol,,True,1,2004-08,,@book?n=PH-kdtemp&ed=8&vol=0#157
S_PH_2.1.1.1.11,Clonidine,- Extravascular Uses,True,1,2012-08;2004-08,,@book?n=PH-kdtemp&ed=8&vol=0#611
S_PH_2.1.1.1.12,Management of Organo Phosphorus Poisoning,- Cholinesterase Reactivators,True,5,2023-02;2019-12;2017-02;2015-02;2010-08;2008-08,,@book?n=PH-kdtemp&ed=8&vol=0#122
S_PH_2.1.1.1.13,Timolol,- Rationale for use in the treatment of Glaucoma,True,3,2018-02;2009-08;1990-12,,@book?n=PH-kdtemp&ed=8&vol=0#167
S_PH_2.1.1.1.14,Anti-Glaucoma Drugs,,True,5,2018-08;2016-08;2013-08;2011-02;2009-02,,@book?n=PH-kdtemp&ed=8&vol=0#153
S_PH_2.1.1.1.15,Atropine,"- Pharmacological action
- Uses
- Substitutes",True,2,2023-07;2014-02,,@book?n=PH-kdtemp&ed=8&vol=0#124
S_PH_2.1.1.1.16,Drugs used in Open Angle Glaucoma,,True,2,2022-08;2019-08,,@book?n=PH-kdtemp&ed=8&vol=0#166
S_PH_2.1.1.1.17,Cholinergic Crisis,,True,1,2014-08,,@book?n=PH-kdtemp&ed=8&vol=0#121
S_PH_2.1.1.1.18,Drugs for Glaucoma,,True,4,2010-02;2005-02;2002-10;1996-10,,@book?n=PH-kdtemp&ed=8&vol=0#165
S_PH_2.1.1.1.19,Treatment of Myasthenia Gravis,,True,1,2003-10,,@book?n=PH-kdtemp&ed=8&vol=0#120
S_PH_2.1.1.1.20,Therapeutic Uses of Atropine,,True,1,2006-08,,@book?n=PH-kdtemp&ed=8&vol=0#130
