Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_PH_6.1.1.1.1,Skeletal muscle relaxants,"- Uses of Succinyl Choline
- Succinyl Choline apnea and treatment;- Classification
- MOA and Uses of Succinyl Choline
- Succinyl Choline apnea and treatment
- d-Tubocurarine, actions and toxicity
- Dantrolene sodium
- Malignant hyperthermia",True,2,2006-08;2003-10,,@book?n=PH-kdtemp&ed=8&vol=0#373
S_PH_6.1.1.1.1,Pancuronium,,True,1,2000-04,,@book?n=PH-kdtemp&ed=8&vol=0#379
S_PH_6.1.1.1.2,d-Tubocurarine,- Mechanism of Action,True,1,2015-02,,@book?n=PH-kdtemp&ed=8&vol=0#374
S_PH_6.1.1.1.3,Competitive and Non-competitive Neuromuscular Blockers,"- Difference
- Therapeutic effects
- Adverse effects",True,1,2008-08,,@book?n=PH-kdtemp&ed=8&vol=0#374
S_PH_6.1.1.1.4,Succinyl Choline,,True,5,2022-08;2009-02;2002-03;1999-04;1993-11,,@book?n=PH-kdtemp&ed=8&vol=0#379
S_PH_6.1.1.1.5,Succinyl Choline Apnoea,"- Mechanism of Action
- Treatment",True,1,2016-02,,@book?n=PH-kdtemp&ed=8&vol=0#376
S_PH_6.1.1.1.6,Depolarizing Neuromuscular Blockers,"- Classification
- Mechanism of Action
- Uses
- Adverse Effects",True,1,2020-11,,@book?n=PH-kdtemp&ed=8&vol=0#375
S_PH_6.1.1.1.7,Dantrolene,,True,1,2009-08,,@book?n=PH-kdtemp&ed=8&vol=0#382
S_PH_6.1.1.1.8,Centrally Acting Skeletal Muscle Relaxants,"- Classification
- Mechanism of Action
- Uses
- Adverse Effects",True,2,2023-07;2011-02,,@book?n=PH-kdtemp&ed=8&vol=0#382
S_PH_6.1.1.1.9,Baclofen,,True,1,2023-07,,@book?n=PH-kdtemp&ed=8&vol=0#384
S_PH_6.1.1.1.10,Lignocaine,Adverse effects,True,4,2012-02;2009-08;2009-02;2001-04,,@book?n=PH-kdtemp&ed=8&vol=0#392
S_PH_6.1.1.1.11,Local Anaesthetics,- Mechanism of Action,True,3,2023-02;2020-02;2005-02,,@book?n=PH-kdtemp&ed=8&vol=0#387
S_PH_6.1.1.1.12,Rationale of Giving Adrenaline with Local Anaesthetics,,True,3,2023-02;2009-02;2008-08,,@book?n=PH-kdtemp&ed=8&vol=0#389
S_PH_6.1.1.1.13,Complications of Spinal Anaesthesia,,True,3,2022-08;2022-03;2011-02,,@book?n=PH-kdtemp&ed=8&vol=0#396
S_PH_6.1.1.1.14,Bupivacaine,,True,1,2012-08,,@book?n=PH-kdtemp&ed=8&vol=0#392
S_PH_6.1.1.1.15,Local Anaesthetics in Presence of Inflammation,,True,1,2013-08,,@book?n=PH-kdtemp&ed=8&vol=0#389
