Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_PH_7.1.1.1.1,Drugs used in Bronchial Asthma,"- Mechanism of Action
- Uses
- Adverse Effects
- Classification",True,2,2011-08;2007-02,,@book?n=PH-kdtemp&ed=8&vol=0#241
E_PH_7.1.1.1.2,Role of Sympathomimetics in Bronchial Asthma,,True,1,2012-08,,@book?n=PH-kdtemp&ed=8&vol=0#222
S_PH_7.1.1.1.1,Anti-Asthmatic Drugs,,True,1,2014-02,,@book?n=PH-kdtemp&ed=8&vol=0#241
S_PH_7.1.1.1.2,Salbutamol,,True,2,2015-08;1997-10,,@book?n=PH-kdtemp&ed=8&vol=0#242
S_PH_7.1.1.1.3,Bronchodilators,"- Classification: Sympathomimetics, Methyl xanthines, Anticholinergics
- Mechanism of action
- Uses
- Adverse Effects",True,1,2007-08,,@book?n=PH-kdtemp&ed=8&vol=0#242
S_PH_7.1.1.1.4,Steroids Used in Bronchial Asthma,"- Role
- Adverse effects",True,7,2020-08;2018-08;2017-08;2017-02;2012-02;2009-08;2004-08,,@book?n=PH-kdtemp&ed=8&vol=0#249
S_PH_7.1.1.1.5,Role of Glucocorticoids in Bronchial Asthma,,True,2,2015-02;1998-04,,@book?n=PH-kdtemp&ed=8&vol=0#249
S_PH_7.1.1.1.6,Mast Cell Stabilisers,,True,5,2018-08;2016-02;2011-02;2010-02;2000-04,,@book?n=PH-kdtemp&ed=8&vol=0#249
S_PH_7.1.1.1.7,Cromolyn Sodium (or) Sodium Cromoglycate,,True,2,2018-02;2002-03,,@book?n=PH-kdtemp&ed=8&vol=0#249
S_PH_7.1.1.1.8,Leukotriene Antagonists in Bronchial Asthma,"- Mechanism of Action
- Uses
- Adverse Effects
- Indications",True,2,2013-08;2010-08,,@book?n=PH-kdtemp&ed=8&vol=0#248
S_PH_7.1.1.1.9,Montelukast,"- Mechanism of Action
- Uses",True,1,2011-08,,@book?n=PH-kdtemp&ed=8&vol=0#248
S_PH_7.1.1.1.10,Zileuton,,True,1,2005-08,,@book?n=PH-kdtemp&ed=8&vol=0#249
S_PH_7.1.1.1.11,Ipratropium bromide,,True,1,2014-08,,@book?n=PH-kdtemp&ed=8&vol=0#248
S_PH_7.1.1.1.12,Status Asthmaticus,"- Drugs Used
- Management",True,5,2019-08;2014-02;2005-08;2003-10;2000-10,,@book?n=PH-kdtemp&ed=8&vol=0#253
S_PH_7.1.1.1.13,Theophylline,- Adverse Effects,True,1,2020-02,,@book?n=PH-kdtemp&ed=8&vol=0#246
S_PH_7.1.1.1.14,Methyl Xanthines in Bronchial Asthma,,True,1,2001-11,,@book?n=PH-kdtemp&ed=8&vol=0#243
S_PH_7.1.1.1.15,Antitussives,"- Mechanism of Action
- Uses
- Adverse Effects
- Examples",True,5,2023-02;2021-02;2018-08;2017-08;2011-08,,@book?n=PH-kdtemp&ed=8&vol=0#239
S_PH_7.1.1.1.16,Dextromethorphan,,True,1,2001-11,,@book?n=PH-kdtemp&ed=8&vol=0#239
S_PH_7.1.1.1.17,Centrally Acting Cough Syrup,"- Classification
- Mechanism of action
- Uses
- Adverse Effects",True,1,2001-11,,@book?n=PH-kdtemp&ed=8&vol=0#239
S_PH_7.1.1.1.18,Centrally Acting Cough Suppressants,- Uses,True,1,2012-08,,@book?n=PH-kdtemp&ed=8&vol=0#239
S_PH_7.1.1.1.19,Mucolytics (or) Mucokinetics,,True,3,2019-02;2013-08;2010-02,,@book?n=PH-kdtemp&ed=8&vol=0#238
S_PH_7.1.1.1.20,Bromhexine,,True,1,2016-02,,@book?n=PH-kdtemp&ed=8&vol=0#238
S_PH_7.1.1.1.21,Nasal decongestants,"- Classification
- Mechanism of Action
- Uses
- Adverse Effects",True,4,2023-07;2016-02;2007-02;2000-04,,@book?n=PH-kdtemp&ed=8&vol=0#238
S_PH_7.1.1.1.22,Expectorants,,True,1,2005-02,,@book?n=PH-kdtemp&ed=8&vol=0#238
