Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_PH_9.1.1.1.1,Purgatives (or) Management of Functional Constipation,"- Classification
- Mechanism of Action
- Therapeutic Uses",True,1,1991-12,,@book?n=PH-kdtemp&ed=8&vol=0#721
E_PH_9.1.1.1.2,Drugs used in Acid Peptic Disease,"- Classification
- Mechanism of Action
- Uses
- Adverse Effects;- Classification
- Anti H. pylori Drugs and Various Regimens
- Prostaglandin Analogues
- Proton Pump Inhibitors",True,4,2023-12;2017-02;2005-08;1990-12,,@book?n=PH-kdtemp&ed=8&vol=0#695
S_PH_9.1.1.1.1,Proton Pump Inhibitors,- Uses,True,5,2023-07;2023-02;2010-02;2005-02;1997-10,,@book?n=PH-kdtemp&ed=8&vol=0#699
S_PH_9.1.1.1.2,H2 Receptor Antagonists,,True,5,2023-02;2002-03;2000-10;1996-10;1993-01,,@book?n=PH-kdtemp&ed=8&vol=0#696
S_PH_9.1.1.1.3,Ranitidine,,True,3,2018-02;2011-08;1996-10,,@book?n=PH-kdtemp&ed=8&vol=0#698
S_PH_9.1.1.1.4,Prostaglandin Analogues in Peptic Ulcer Disease,,True,1,2020-02,,@book?n=PH-kdtemp&ed=8&vol=0#702
S_PH_9.1.1.1.5,Sucralfate,,True,2,2009-08;1999-04,,@book?n=PH-kdtemp&ed=8&vol=0#704
S_PH_9.1.1.1.6,Drugs used in Gastro-esophageal Reflux Disease (GERD),,True,3,2018-08;2014-02;2013-08,,@book?n=PH-kdtemp&ed=8&vol=0#707
S_PH_9.1.1.1.7,Drugs for H. pylori Infection,- Triple Regimen,True,5,2023-07;2017-08;2015-02;2009-08;2006-02,,@book?n=PH-kdtemp&ed=8&vol=0#705
S_PH_9.1.1.1.8,Anti-Emetic Drugs,- Morning Sickness,True,2,2018-08;2008-02,,@book?n=PH-kdtemp&ed=8&vol=0#710
S_PH_9.1.1.1.9,Metoclopramide,,True,3,2023-07;2019-02;1997-04,,@book?n=PH-kdtemp&ed=8&vol=0#713
S_PH_9.1.1.1.10,Ondansetron,- Mechanism of Action,True,3,2019-08;2014-08;2008-08,,@book?n=PH-kdtemp&ed=8&vol=0#716
S_PH_9.1.1.1.11,5-HT3 (Serotonin) Antagonists,,True,1,2014-08,,@book?n=PH-kdtemp&ed=8&vol=0#716
S_PH_9.1.1.1.12,Classification of Anti-Emetic Agents,,True,1,2015-08,,@book?n=PH-kdtemp&ed=8&vol=0#711
S_PH_9.1.1.1.13,Prokinetic Drugs,,True,6,2016-08;2009-08;2007-08;2004-08;2001-04;1996-04,,@book?n=PH-kdtemp&ed=8&vol=0#713
S_PH_9.1.1.1.14,Domperidone,,True,1,2016-02,,@book?n=PH-kdtemp&ed=8&vol=0#715
S_PH_9.1.1.1.15,Bulk Forming Agents,,True,1,2016-08,,@book?n=PH-kdtemp&ed=8&vol=0#722
S_PH_9.1.1.1.16,Purgatives (or) Management of Functional Constipation,,True,2,2012-08;2006-02,,@book?n=PH-kdtemp&ed=8&vol=0#721
S_PH_9.1.1.1.17,Anti-Diarrhoeals,,True,1,2022-08,,@book?n=PH-kdtemp&ed=8&vol=0#727
S_PH_9.1.1.1.18,Anti-Motility Drugs,,True,2,2018-02;2009-02,,@book?n=PH-kdtemp&ed=8&vol=0#733
S_PH_9.1.1.1.19,Sulfasalazine,,True,2,2014-08;2013-08,,@book?n=PH-kdtemp&ed=8&vol=0#734
