Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_PH_10.1.1.1.1,Anti-Diabetic Drugs,"- Classification of Oral Hypoglycaemic Drugs
- Mechanism of Action
- Adverse Effects
- Interaction of Sulfonyl Ureas;- Classification of Oral Hypoglycemic Drugs
- Mechanism of Action and Adverse Effects of Metformin
- Reason for Metformin being used as First Choice Drug in Type 2 DM patients;- Newer Insulin Analogues
- Insulin Resistance",True,8,2021-09;2018-02;2013-08;2009-08;2007-02;2005-02;1996-10;1993-01,"A 48 year old obese male with sedentary lifestyle, presents with symptoms and blood sugar levels suggestive of diabetes mellitus, FBS 120 mg/dL, post prandial blood sugar 260 mg/dL",@book?n=PH-kdtemp&ed=8&vol=0#285;@book?n=PH-kdtemp&ed=8&vol=0#293;@book?n=PH-kdtemp&ed=8&vol=0#294;@book?n=PH-kdtemp&ed=8&vol=0#299;@book?n=PH-tarav&ed=5&vol=0#358;@book?n=PH-tarav&ed=5&vol=0#361;@book?n=PH-tarav&ed=5&vol=0#362
E_PH_10.1.1.1.2,Anti-Thyroid Drugs,"- Classification of Antithyroid Drugs
- Mechanism of Action
- Adverse Effects
- Advantages
- Contraindications
- Management of Thyroid Storm;- Radioactive Iodine",True,6,2020-11;2013-02;2010-08;2006-02;2001-11;2000-04;1999-10,"A 35 year old female presented with Fatigue, weakness, decreased appetite, puffy face and menorrhagia. Routine investigations, lipid profile and thyroid function tests were done; High TSH and low levels of T3 and T4 was found",@book?n=PH-kdtemp&ed=8&vol=0#274;@book?n=PH-tarav&ed=5&vol=0#324
E_PH_10.1.1.1.3,Corticosteroids,"- Classification of Glucocorticoids
- Physiological and Pharmacological Actions
- Adverse Effects
- Therapeutic Uses
- Contraindications;- Note on Acute Adrenal Insufficiency",True,3,2006-08;2005-08;2001-04,,@book?n=PH-kdtemp&ed=8&vol=0#306;@book?n=PH-tarav&ed=5&vol=0#346
E_PH_10.1.1.1.4,Oral Contraceptives,"- Classification of Anti Fertility Drugs
- Methods of Administration
- Mechanism of Action
- Adverse Effects;- Adverse Effects and Complications of Hormonal Contraceptives",True,3,2011-08;2002-03;2000-10,,@book?n=PH-kdtemp&ed=8&vol=0#346;@book?n=PH-tarav&ed=5&vol=0#339
S_PH_10.1.1.1.1,Sulfonyl Ureas,"- Mechanism
- Pharmacological Actions",True,2,2009-02;1997-10,,@book?n=PH-kdtemp&ed=8&vol=0#294;@book?n=PH-tarav&ed=5&vol=0#362
S_PH_10.1.1.1.2,Newer Insulins,,True,5,2018-08;2010-08;2005-08;1998-10;1997-04,,@book?n=PH-kdtemp&ed=8&vol=0#287;@book?n=PH-tarav&ed=5&vol=0#358
S_PH_10.1.1.1.3,Management of Diabetic Ketoacidosis,,True,1,2010-08,,@book?n=PH-kdtemp&ed=8&vol=0#291;@book?n=PH-tarav&ed=5&vol=0#361
S_PH_10.1.1.1.4,Insulin Resistance,,True,2,2011-08;2011-02,,@book?n=PH-kdtemp&ed=8&vol=0#292;@book?n=PH-tarav&ed=5&vol=0#361
S_PH_10.1.1.1.5,Propylthiouracil,,True,3,2018-02;2011-08;2004-08,,@book?n=PH-kdtemp&ed=8&vol=0#275;@book?n=PH-tarav&ed=5&vol=0#325
S_PH_10.1.1.1.6,Anti-Thyroid Drugs,,True,2,2009-08;2008-02,,@book?n=PH-kdtemp&ed=8&vol=0#274;@book?n=PH-tarav&ed=5&vol=0#324
