Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_PH_11.1.1.1.1,Immunosuppressants,"- Classification of Immunosuppressants
- Mechanism of Action
- Adverse Effects
- Therapeutic Uses of Calcineurin Inhibitors",True,1,2014-08,,@book?n=PH-kdtemp&ed=8&vol=0#937
S_PH_11.1.1.1.1,Immunosuppressants,,True,4,2008-08;2002-03;2000-10;2000-04,,@book?n=PH-kdtemp&ed=8&vol=0#937
S_PH_11.1.1.1.2,Calcineurin Inhibitors,,True,3,2019-02;2013-08;2011-08,,@book?n=PH-kdtemp&ed=8&vol=0#937
S_PH_11.1.1.1.3,Cyclosporine,,True,6,2022-03;2020-02;2019-08;2010-02;2001-11;2001-04,,@book?n=PH-kdtemp&ed=8&vol=0#937
S_PH_11.1.1.1.4,Tacrolimus,,True,1,2006-08,,@book?n=PH-kdtemp&ed=8&vol=0#940
S_PH_11.1.1.1.5,Mycophenolate Mofetil,,True,4,2023-07;2020-11;2012-08;2007-08,,@book?n=PH-kdtemp&ed=8&vol=0#942
S_PH_11.1.1.1.6,Pharmacological basis of Immunosuppressant in Organ Transplant,,True,1,2023-02,,@book?n=PH-kdtemp&ed=8&vol=0#944
S_PH_11.1.1.1.7,Monoclonal Antibody,,False,3,,,@book?n=PH-kdtemp&ed=8&vol=0#943
S_PH_11.1.1.1.8,Chelating Agents,,True,3,2023-02;2022-08;2007-02,,@book?n=PH-kdtemp&ed=8&vol=0#964
S_PH_11.1.1.1.9,Dimercaprol (or) British Anti-Lewisite (BAL),,True,8,2015-02;2013-02;2011-02;2010-08;2008-08;2005-02;2004-08;2001-04,,@book?n=PH-kdtemp&ed=8&vol=0#964
S_PH_11.1.1.1.10,d-Penicillamine,,True,3,2009-08;2004-08;2000-04,,@book?n=PH-kdtemp&ed=8&vol=0#966
S_PH_11.1.1.1.11,Desferrioxamine,,True,2,2020-02;2009-02,,@book?n=PH-kdtemp&ed=8&vol=0#966
S_PH_11.1.1.1.12,Therapeutic Uses of Oxygen,,True,1,2011-02,,@book?n=PH-ggpbint&ed=13&vol=0#399
S_PH_11.1.1.1.13,Treatment for Iron Toxicity (or) Poisoning,,False,1,,,@book?n=PH-kdtemp&ed=8&vol=0#652
S_PH_11.1.1.1.14,Hepatitis B Vaccine,,True,1,2019-08,,@book?n=PH-kdtemp&ed=8&vol=0#982
S_PH_11.1.1.1.15,Rabies Prophylaxis,,True,1,2003-02,,@book?n=PH-kdtemp&ed=8&vol=0#981
S_PH_11.1.1.1.16,Psoriasis,,True,6,2022-08;2022-03;2020-02;2018-08;2013-02;2011-02,,@book?n=PH-kdtemp&ed=8&vol=0#950
S_PH_11.1.1.1.17,Psoralen Ultraviolet A (PUVA),,True,1,2013-08,,@book?n=PH-kdtemp&ed=8&vol=0#951
S_PH_11.1.1.1.18,Acne Vulgaris,,True,4,2023-07;2022-08;2017-02;2014-08,,@book?n=PH-kdtemp&ed=8&vol=0#952
S_PH_11.1.1.1.19,Scabies,,True,6,2017-08;2016-02;2010-08;2009-02;2004-08;2001-11,,@book?n=PH-kdtemp&ed=8&vol=0#961
S_PH_11.1.1.1.20,Keratolytic Agents,,True,1,2023-02,,@book?n=PH-kdtemp&ed=8&vol=0#949
S_PH_11.1.1.1.21,Anti-Seborrheic Agents,,False,1,,,@book?n=PH-kdtemp&ed=8&vol=0#949
S_PH_11.1.1.1.22,Sun Screens,,True,1,2005-08,,@book?n=PH-kdtemp&ed=8&vol=0#952
S_PH_11.1.1.1.23,Drug for Ocular Disease,,True,1,2021-09,,@book?n=PH-srivat&ed=2&vol=1#935
S_PH_11.1.1.1.24,Vitamin A,,True,2,2013-02;2002-03,,@book?n=PH-kdtemp&ed=8&vol=0#968
S_PH_11.1.1.1.25,Vitamin D,,True,5,2017-08;2014-02;2010-08;2009-08;2003-10,,@book?n=PH-kdtemp&ed=8&vol=0#366
S_PH_11.1.1.1.26,Vitamin K,,True,1,2016-08,,@book?n=PH-kdtemp&ed=8&vol=0#660
S_PH_11.1.1.1.27,Ascorbic Acid,,True,1,2005-02,,@book?n=PH-kdtemp&ed=8&vol=0#975
S_PH_11.1.1.1.28,Antioxidant Vitamin,,True,1,2022-02,,@book?n=PH-kdtemp&ed=8&vol=0#971
